beer_style,votes,review_overall,year,local_review
59,138,3.84,2025,Yes
12,69,3.73,2025,Yes
9,67,3.82,2025,Yes
16,48,3.86,2025,Yes
2,44,3.88,2025,Yes
9,43,4.15,2025,Yes
50,43,3.72,2025,Yes
64,38,4.2,2025,Yes
10,35,4.11,2025,Yes
61,34,3.82,2025,Yes
9,34,4.02,2025,Yes
12,33,3.96,2025,Yes
10,33,3.74,2025,Yes
62,31,3.76,2025,Yes
30,29,3.66,2025,Yes
9,28,4.04,2025,Yes
10,26,3.94,2025,Yes
9,25,4.07,2025,Yes
9,23,4.22,2025,Yes
24,22,4.01,2025,Yes
10,21,3.77,2025,Yes
12,21,3.72,2025,Yes
9,20,4.18,2025,Yes
10,20,3.62,2025,Yes
10,20,3.55,2025,Yes
9,19,4.23,2025,Yes
10,18,3.77,2025,Yes
1,18,3.51,2025,Yes
7,17,3.97,2025,Yes
10,16,3.89,2025,Yes
10,16,3.61,2025,Yes
61,15,3.97,2025,Yes
38,15,3.71,2025,Yes
10,15,3.6,2025,Yes
63,15,3.52,2025,Yes
21,14,3.79,2025,Yes
64,13,3.9,2025,Yes
12,13,3.77,2025,Yes
5,13,3.76,2025,Yes
9,13,3.7,2025,Yes
42,13,3.57,2025,Yes
12,12,3.9,2025,Yes
61,12,3.73,2025,Yes
9,12,3.69,2025,Yes
61,11,4.16,2025,Yes
64,11,4.13,2025,Yes
36,11,3.92,2025,Yes
10,11,3.87,2025,Yes
10,11,3.85,2025,Yes
10,11,3.84,2025,Yes
10,11,4.05,2025,Yes
10,10,3.84,2025,Yes
7,10,3.71,2025,Yes
9,9,4.17,2025,Yes
40,9,3.88,2025,Yes
29,9,3.85,2025,Yes
10,9,3.76,2025,Yes
56,9,3.73,2025,Yes
50,9,3.69,2025,Yes
5,9,3.65,2025,Yes
9,8,4.38,2025,Yes
2,8,3.99,2025,Yes
10,8,3.98,2025,Yes
10,8,3.96,2025,Yes
61,8,3.85,2025,Yes
25,8,3.81,2025,Yes
27,8,3.76,2025,Yes
10,8,3.72,2025,Yes
63,7,3.92,2025,Yes
4,7,3.89,2025,Yes
22,7,3.86,2025,Yes
7,7,3.85,2025,Yes
10,7,3.81,2025,Yes
10,7,3.76,2025,Yes
12,7,3.76,2025,Yes
21,7,3.74,2025,Yes
9,7,4.1,2025,Yes
40,7,4.01,2025,Yes
42,6,4.21,2025,Yes
11,6,4.16,2025,Yes
9,5,4.14,2025,Yes
10,5,3.99,2025,Yes
24,5,3.92,2025,Yes
10,5,4.08,2025,Yes
62,4,4.64,2025,Yes
9,4,4.38,2025,Yes
10,4,4.32,2025,Yes
61,4,4.27,2025,Yes
9,4,4.27,2025,Yes
9,4,4.22,2025,Yes
9,4,4.09,2025,Yes
12,3,4.48,2025,Yes
64,3,4.42,2025,Yes
64,3,4.4,2025,Yes
9,3,4.4,2025,Yes
64,3,4.4,2025,Yes
10,3,4.36,2025,Yes
64,3,4.36,2025,Yes
61,3,4.36,2025,Yes
64,3,4.35,2025,Yes
